c'	PRO:DEM	ce
que	PRO:REL	que
lui	PRO:PER	lui
procurent	VER:pres	procurer
enfants	NOM	enfant
,	PUN	,
monique	ADJ	monique
a	VER:pres	avoir
ã	NOM	ã
©	VER:subi	©
galement	NOM	galement
pris	VER:pper	prendre
beaucoup	ADV	beaucoup
plaisir	NOM	plaisir
ã	ADJ	ã
s'	PRO:PER	se
investir	VER:infi	investir
vie	NOM	vie
associative	ADJ	associatif
locale	ADJ	local
,	PUN	,
notamment	ADV	notamment
au	PRP:det	au
sein	NOM	sein
croix-rouge	NOM	croix-rouge
et	KON	et
du	PRP:det	du
secours	NOM	secours
catholique	ADJ	catholique
.	SENT	.
association	NOM	association
loisirs	NOM	loisir
des	PRP:det	du
retraitã	NOM	retraitã
©	ADJ	©
s	VER:simp	s
revinã	ABR	revinã
©	VER:futu	©
ens	VER:pper	ens
,	PUN	,
elle	PRO:PER	elle
aimait	VER:impf	aimer
s'	PRO:PER	se
occuper	VER:infi	occuper
des	PRP:det	du
sorties	ADJ	sorti
ã	NOM	ã
piscine	NOM	piscine
.	SENT	.
proche	ADJ	proche
des	PRP:det	du
autres	ADJ	autre
,	PUN	,
elle	PRO:PER	elle
donnait	VER:impf	donner
sang	NOM	sang
-	PUN	-
mã	ADJ	mã
©	VER:futu	©
daillã	NOM	daillã
©	VER:subi	©
e	VER:pper	e
ailleurs	ADV	ailleurs
rã	NOM	rã
©	VER:futu	©
gularitã	ADJ	gularitã
©	NOM	©
-	PUN	-
;	PUN	;
alors	ADV	alors
qu'	KON	que
elle	PRO:PER	elle
ne	ADV	ne
pouvait	VER:impf	pouvoir
plus	ADV	plus
,	PUN	,
elle	PRO:PER	elle
aidait	VER:impf	aider
ã	NOM	ã
prã	ADJ	prã
©	VER:simp	©
parer	VER:infi	parer
rã	NOM	rã
©	VER:futu	©
confort	NOM	confort
des	PRP:det	du
autres	ADJ	autre
donneurs	NOM	donneur
.	SENT	.
bien	ADV	bien
retraite	NOM	retraite
,	PUN	,
elle	PRO:PER	elle
entretenait	VER:impf	entretenir
ardeur	NOM	ardeur
jardin	NOM	jardin
,	PUN	,
mais	KON	mais
laissait	VER:impf	laisser
place	NOM	place
aux	PRP:det	au
loisirs	NOM	loisir
,	PUN	,
visitant	VER:ppre	visiter
monde	NOM	monde
mari	NOM	mari
,	PUN	,
jusqu'en	NOM	jusqu'en
tunisie	ADJ	tunisie
,	PUN	,
yougoslavie	NOM	yougoslavie
,	PUN	,
aux	PRP:det	au
antilles	NOM	antilles
ou	KON	ou
encore	ADV	encore
au	PRP:det	au
canada	NOM	canada
.	SENT	.
hã	ADJ	hã
©	NOM	©
las	ADJ	las
,	PUN	,
maladie	NOM	maladie
est	VER:pres	être
venue	VER:pper	venir
tout	PRO:IND	tout
gã	ADJ	gã
¢	NOM	¢
cher	ADV	cher
prã	ADJ	prã
©	VER:futu	©
maturã	NOM	maturã
©	ADJ	©
ment	VER:pres	mentir
et	KON	et
octobre	NOM	octobre
2000	NUM	@card@
que	KON	que
jacques	NOM	jacque|jacques
s'	PRO:PER	se
est	VER:pres	être
rendu	VER:pper	rendre
ã	NOM	ã
ã	NOM	ã
©	VER:futu	©
vidence	NOM	vidence
qu'	PRO:REL	que
elle	PRO:PER	elle
devait	VER:impf	devoir
ãªtre	NOM	ãªtre
hospitalisã	ADJ	hospitalisã
©	VER:simp	©
e	VER:pper	e
,	PUN	,
symptã	ADJ	symptã
´	NOM	´
maladie	NOM	maladie
alzheimer	NOM	alzheimer
ayant	VER:ppre	avoir
ã	NOM	ã
©	VER:subi	©
tã	NOM	tã
©	VER:subi	©
diagnostiquã	NOM	diagnostiquã
©	VER:subi	©
s.	VER:pper	s.
,	PUN	,
mari	NOM	mari
s'	PRO:PER	se
investissait	VER:impf	investir
fortement	ADV	fortement
auprã	ADJ	auprã
¨	NOM	¨
s	VER:subi	s
elle	PRO:PER	elle
,	PUN	,
principalement	ADV	principalement
au	PRP:det	au
sein	NOM	sein
association	NOM	association
alzheimer	VER:infi	alzheimer
55	NUM	@card@
dont	PRO:REL	dont
il	PRO:PER	il
est	VER:pres	être
membre	NOM	membre
ã	ADJ	ã
hã	NOM	hã
´	ADJ	´
pital	NOM	pital
bar-le-duc	NOM	bar-le-duc
;	PUN	;
et	KON	et
ã	NOM	ã
qui	PRO:REL	qui
chacun	PRO:IND	chacun
pourra	VER:futu	pouvoir
effectuer	VER:infi	effectuer
don	NOM	don
guise	NOM	guise
dernier	ADJ	dernier
adieu	NOM	adieu
ã	ADJ	ã
monique	ADJ	monique
-	PUN	-
famille	NOM	famille
ne	ADV	ne
souhaitant	VER:ppre	souhaiter
pas	ADV	pas
autre	ADJ	autre
forme	NOM	forme
manifestation	NOM	manifestation
crã	NOM	crã
©	VER:futu	©
mation	VER:pper	mation
,	PUN	,
qui	PRO:REL	qui
suivra	VER:futu	suivre
obsã	NOM	obsã
¨	ADJ	¨
ques	VER:simp	ques
cã	NOM	cã
©	VER:subi	©
lã	NOM	lã
©	VER:subi	©
brã	NOM	brã
©	ADJ	©
es	VER:pres	être
aujourd'hui	ADV	aujourd'hui
ã	NOM	ã
15	NUM	@card@
heures	NOM	heure
,	PUN	,
ã	NOM	ã
©	ADJ	©
glise	VER:subp	glise
saint-joseph	NOM	saint-joseph
.	SENT	.
